publisher,title,author,primary_isbn10,weeks_on_list
St. Martins,SOMETHING BLUE,Emily Giffin,1429904623,0
St. Martin's,SOMETHING BORROWED,Emily Giffin,1429904607,0
St. Martin's Press,WHERE WE BELONG,Emily Giffin,1429957867,0
Emma Chase,ROYALLY SCREWED,Emma Chase,997426225,1
Random House,THE GIRLS,Emma Cline,812998618,8
"Little, Brown",ROOM,Emma Donoghue,316098329,0
Riverhead,THE VACATIONERS,Emma Straub,1101618043,0
Witness Impulse,THE SILENT GIRLS,Eric Rickstad,62351516,0
Grand Central,THE BOURNE DOMINION,Eric Van Lustbader,446564443,0
Knopf Doubleday,THE NIGHT CIRCUS,Erin Morgenstern,385534647,0
Crown,ARMADA,Ernest Cline,804137250,1
Broadway,READY PLAYER ONE,Ernest Cline,307887448,24
Ace,DARK QUEEN,Faith Hunter,1101991437,1
Random House,THE ALL-GIRL FILLING STATION'S LAST REUNION,Fannie Flagg,1400065941,0
Morrow,BONE BOX,Faye Kellerman,62425250,1
Morrow/HarperCollins,THE BEAST,Faye Kellerman,62121774,0
Kensington,CHRISTMAS AT TIMBERWOODS,Fern Michaels,1420125885,0
Kensington,COUNTDOWN,Fern Michaels,1420134965,1
Zebra,FAST AND LOOSE,Fern Michaels,1420140647,1
Zebra,FORGET ME NOT,Fern Michaels,1420133152,0
Kensington,HOME FREE,Fern Michaels,1420122487,1
Zebra,IN PLAIN SIGHT,Fern Michaels,1420135953,1
Kensington,NO SAFE SECRET,Fern Michaels,1617734616,0
Zebra/Kensington,THE SCOOP,Fern Michaels,1420127950,1
Zebra,UPSIDE DOWN,Fern Michaels,1420134957,1
Zebra,WISHES FOR CHRISTMAS,Fern Michaels,1420136666,0
New American Library,THE WIDOW,Fiona Barton,1101990465,0
Washington Square,A MAN CALLED OVE,Fredrik Backman,1476738025,56
Atria,BEARTOWN,Fredrik Backman,1501160788,1
Washington Square,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY,Fredrik Backman,1501115073,3
Kensington Publishing,HOW TO DRIVE A DRAGON CRAZY,G A Aiken,1420131001,0
Atria/Keywords,ADULTOLESCENCE,Gabbie Hanna,1501178326,1
Riverhead,MY ABSOLUTE DARLING,Gabriel Tallent,735211191,1
Algonquin,THE STORIED LIFE OF A. J. FIKRY,Gabrielle Zevin,1616203943,1
Knopf,CITY ON FIRE,Garth Risk Hallberg,385353774,1
HarperCollins Publishers,THE ART OF RACING IN THE RAIN,Garth Stein,61738093,1
Harlequin,BURNING DAWN,Gena Showalter,1460331222,1
Harlequin,THE DARKEST CRAVING,Gena Showalter,1460316495,1
Harlequin,THE DARKEST SEDUCTION,Gena Showalter,1459222830,1
"Little, Brown & Company",WHAT IT WAS,George Pelecanos,316209554,1
Random House,A CLASH OF KINGS,George R R Martin,553897853,0
Random House,A DANCE WITH DRAGONS,George R R Martin,553582011,0
Random House,A FEAST FOR CROWS,George R R Martin,553900323,0
Bantam,A GAME OF THRONES,George R R Martin,553897845,51
Bantam,A GAME OF THRONES: FIVE-BOOK SET,George R R Martin,345535537,0
Bantam,A KNIGHT OF THE SEVEN KINGDOMS,George R R Martin,345533488,0
Random House,LINCOLN IN THE BARDO,George Saunders,812995341,2
Random House Publishing,TENTH OF DECEMBER,George Saunders,812993802,0
Georgia Cates,BEAUTY FROM SURRENDER,Georgia Cates,1628470356,2
Broadway,DARK PLACES,Gillian Flynn,307459926,0
Crown,GONE GIRL,Gillian Flynn,307588386,0
Broadway,SHARP OBJECTS,Gillian Flynn,307341550,0
Threshold Editions,THE EYE OF MOLOCH,Glenn Beck,1451635834,0
Threshold Editions,THE SNOW ANGEL,Glenn Beck,1439187207,1
Simon & Schuster,AGENDA 21,Glenn Beck with Harriet Parke,1476717001,0
Putnam,TOM CLANCY: DUTY AND HONOR,Grant Blackwood,399176802,2
Morrow/HarperCollins,MISSISSIPPI BLOOD,Greg Iles,62311158,3
Morrow/HarperCollins,NATCHEZ BURNING,Greg Iles,62311107,0
HarperCollins Publishers,OUT OF OZ,Gregory Maguire,60548940,0
HarperCollins Publishers,THE NIGHT ETERNAL,Guillermo del Toro and Chuck Hogan,62066048,1
Laree Bailey,DAMAGED,H M Ward,985547324,4
Laree Bailey,DAMAGED 2,H M Ward,985547340,0
Laree Bailey Press,THE ARRANGEMENT 11,H M Ward,1630350028,0
Laree Bailey,THE ARRANGEMENT 13,H M Ward,1630350141,1
H. M. Ward,THE ARRANGEMENT 15,H M Ward,1630350281,1
Laree Bailey,THE ARRANGEMENT 20,H M Ward,1630350745,0
Laree Bailey Press,THE ARRANGEMENT 9: THE FERRO FAMILY,H M Ward,985547367,0
Random House Publishing,SOMETHING WITCHY THIS WAY COMES,H P Mallory,345531590,1
Dutton,DON'T LET GO,Harlan Coben,698411668,4
Dutton,FOOL ME ONCE,Harlan Coben,698404173,6
Dutton,HOME,Harlan Coben,698411447,6
Dutton,MISSING YOU,Harlan Coben,698148630,6
Dutton,THE STRANGER,Harlan Coben,451414136,0
Harper,GO SET A WATCHMAN,Harper Lee,62409875,16
Knopf Doubleday Publishing,1Q84,Haruki Murakami,307593312,0
Knopf,COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE,Haruki Murakami,385352107,2
Morrow/HarperCollins,THE GIRL WHO CAME HOME,Hazel Gaynor,62316877,2
Mira,DARKEST JOURNEY,Heather Graham,1460395921,1
Mira,DEADLY FATE,Heather Graham,1460395646,1
Mira,DYING BREATH,Heather Graham,778330222,1
Mira,HAUNTED DESTINY,Heather Graham,1459294149,1
Mira,WICKED DEEDS,Heather Graham,1460398858,1
Helen Cooper,ALPHA BILLIONAIRE 3,Helen Cooper,1940218365,1
Knopf,BRIDGET JONES: MAD ABOUT THE BOY,Helen Fielding,385350872,0
Random House,THE SUMMER BEFORE THE WAR,Helen Simonson,679644644,1
HarperCollins,THE GOLEM AND THE JINNI,Helene Wecker,62110853,1
Knopf Doubleday,THE TROUBLED MAN,Henning Mankell,307593495,1
Henry Holt & Company,BRING UP THE BODIES,Hilary Mantel,805090037,1
Nan A. Talese/Doubleday,NUTSHELL,Ian McEwan,385542070,1
Knopf Doubleday Publishing,SWEET TOOTH,Ian McEwan,385536836,1
Henry Holt,THE NORTH WATER,Ian McGuire,1627795952,1
Avon,BURN FOR ME,Ilona Andrews,62289241,0
Ace,MAGIC BREAKS,Ilona Andrews,698146409,1
Ilona Andrews,ONE FELL SWEEP,Ilona Andrews,1943772711,0
Avon,WHITE HOT,Ilona Andrews,62289268,1
Avon,WILDFIRE,Ilona Andrews,62289284,1
Random House,BEHOLD THE DREAMERS,Imbolo Mbue,525509712,1
St. Martin's Press,BONNIE,Iris Johansen,312651287,0
St. Martin's,EVE,Iris Johansen,1429920165,1
St. Martin's Press,HIDE AWAY,Iris Johansen,1466887206,1
St. Martin's,MIND GAME,Iris Johansen,1466887230,1
St. Martin's,NIGHT AND DAY,Iris Johansen,1466887214,1
St. Martin's,NO EASY TARGET,Iris Johansen,1466887222,1
St. Martin's,SHATTERED MIRROR,Iris Johansen,1466887249,1
St. Martin's,TAKING EVE,Iris Johansen,1250019974,1
St. Martins Press,WHAT DOESN'T KILL YOU,Iris Johansen,1429952938,1
St. Martin's,YOUR NEXT BREATH,Iris Johansen,1250020077,1
St. Martin's,LOOK BEHIND YOU,Iris Johansen and Roy Johansen,1466887346,1
St. Martin's,NIGHT WATCH,Iris Johansen and Roy Johansen,1466887338,1
St. Martin's,SIGHT UNSEEN,Iris Johansen and Roy Johansen,1250020530,1
St. Martin's,THE NAKED EYE,Iris Johansen and Roy Johansen,1250020557,0
Simon & Schuster,WARM BODIES,Isaac Marion,1439192332,0
Atria,THE JAPANESE LOVER,Isabel Allende,1501117009,0
Science Future Press,"THREE, TWO, ONE (321)",J A Huss,1936413787,1
Pocket Star,A LAST GOODBYE,J A Jance,1501103695,0
Touchstone,CLAWBACK,J A Jance,1501110764,1
Morrow/HarperCollins,DANCE OF THE BONES,J A Jance,62297686,1
Touchstone,DEADLY STAKES,J A Jance,1451628706,0
Morrow/HarperCollins,DOWNFALL,J A Jance,62297732,1
HarperCollins Publishers,JUDGMENT CALL,J A Jance,62132385,1
Simon & Schuster,LEFT FOR DEAD,J A Jance,1451628625,1
Touchstone,MAN OVERBOARD,J A Jance,1501110810,1
Morrow,PROOF OF LIFE,J A Jance,62657569,1
Witness Impulse,RANDOM ACTS,J A Jance,62499041,1
Morrow/HarperCollins,SECOND WATCH,J A Jance,62134698,0
Witness Impulse,STAND DOWN,J A Jance,62418483,0
HarperCollins,UNTIL PROVEN GUILTY,J A Jance,61758221,4
Grand Central,THE EDGE OF ALWAYS,J A Redmerski,1455549010,1
Knopf Doubleday,MAINE,J Courtney Sullivan,307596818,0
Berkley,APPRENTICE IN DEATH,J D Robb,1101987995,0
St. Martin's,ECHOES IN DEATH,J D Robb,1250123135,4
Putnam,FESTIVE IN DEATH,J D Robb,1101617276,0
Putnam,OBSESSION IN DEATH,J D Robb,698161440,2
"Little, Brown & Company",THE CASUAL VACANCY,J K Rowling,316228583,0
Bantam,COMPLETE ME,J Kenner,345545850,1
Bantam,TAKE ME,J Kenner,804180423,1
Spencer Hill Contemporary,FRIGID,J Lynn,1939392748,0
Morrow,STAY WITH ME,J Lynn,62294814,0
Morrow,WAIT FOR YOU,J Lynn,62294768,0
Ballantine,THE GIRL BEFORE,J P Delaney,425285057,3
Ballantine,BLOOD VOW,J R Ward,698193288,1
Penguin Group,LOVER UNLEASHED,J R Ward,451233166,0
Ballantine,THE CHOSEN,J R Ward,698192982,1
St. Martin's Press,THE STORY OF SON,J R Ward,1466867833,0
J. S. Cooper,FALLING FOR MY BEST FRIEND'S BROTHER,J S Cooper,1940218381,0
Golden Unicorn Enterprises,BILLIONAIRE UNKNOWN,J S Scott,1939962676,1
Golden Unicorn,THE BILLIONAIRE'S OBSESSION,J S Scott,1939962013,0
Carina Press,JACI BURTON THE KENT BROTHERS TRILOGY,Jaci Burton,1426899351,0
St. Martin's,GODDESS OF VENGEANCE,Jackie Collins,1429962232,1
St. Martin's Press,THE POWER TRIP,Jackie Collins,1250011019,1
St. Martin's,THE SANTANGELOS,Jackie Collins,1466848901,0
Harper,A DANGEROUS PLACE,Jacqueline Winspear,62220578,1
HarperCollins,A LESSON IN SECRETS,Jacqueline Winspear,61727679,0
HarperCollins Publishers,ELEGY FOR EDDIE,Jacqueline Winspear,62049577,0
Harper/HarperCollins,IN THIS GRAVE HOUR,Jacqueline Winspear,62436619,1
Harper/HarperCollins,JOURNEY TO MUNICH,Jacqueline Winspear,62220624,1
Harper,TO DIE BUT ONCE,Jacqueline Winspear,62436651,1
Witness Impulse,THE GIRL IN THE GLASS,James Hayman,62435159,0
Simon & Schuster,CREOLE BELLE,James Lee Burke,1451648154,1
Simon & Schuster,FEAST DAY OF FOOLS,James Lee Burke,1451643144,1
Simon & Schuster,ROBICHEAUX,James Lee Burke,1501176854,1
Simon & Schuster,THE JEALOUS KIND,James Lee Burke,1501107488,1
Simon & Schuster,WAYFARING STRANGER,James Lee Burke,1476710813,1
Del Rey,CATALYST,James Luceno,345511492,1
"Little, Brown","ALEX CROSS, RUN",James Patterson,316097527,0
Grand Central Publishing,CROSS FIRE,James Patterson,446574716,0
"Little, Brown",CROSS JUSTICE,James Patterson,316407143,7
"Little, Brown",CROSS KILL,James Patterson,316317144,0
"Little, Brown",CROSS MY HEART,James Patterson,316210927,7
BookShots,DETECTIVE CROSS,James Patterson,316469742,1
"Little, Brown & Company","MERRY CHRISTMAS, ALEX CROSS",James Patterson,316210692,8
Grand Central,COUNT TO TEN,James Patterson and Ashwin Sanghi,1538759659,1
"Little, Brown",FIFTY FIFTY,James Patterson and Candice Fox,316513229,3
"Little, Brown",NEVER NEVER,James Patterson and Candice Fox,316433179,5
"Little, Brown & Company",GUILTY WIVES,James Patterson and David Ellis,316097578,0
"Little, Brown",MISTRESS,James Patterson and David Ellis,316211060,5
"Little, Brown",THE BLACK BOOK,James Patterson and David Ellis,316464147,6
"Little, Brown",THE MURDER HOUSE,James Patterson and David Ellis,1455589918,0
"Little, Brown",FIRST LOVE,James Patterson and Emily Raymond,316207020,0
BookShots,LITTLE BLACK DRESS,James Patterson and Emily Raymond,316276405,1
"Little, Brown",MURDER GAMES,James Patterson and Howard Roughan,316553476,5
"Little, Brown",SECOND HONEYMOON,James Patterson and Howard Roughan,316211192,0
"Little, Brown",TRUTH OR DIE,James Patterson and Howard Roughan,316408735,0
BookShots,PRIVATE: GOLD,James Patterson and Jassy Mackenzie,316438839,1
"Little, Brown",KILLER CHEF,James Patterson and Jeffrey J Keyes,316361534,1
Grand Central,MISSING,James Patterson and Kathryn Fox,1455568139,3
Grand Central Publishing,PRIVATE LONDON,James Patterson and Mark Pearson,1455515531,0
"Little, Brown & Company",PRIVATE GAMES,James Patterson and Mark Sullivan,316206814,6
"Little, Brown",PRIVATE L.A.,James Patterson and Mark Sullivan,316211117,5
"Little, Brown",PRIVATE PARIS,James Patterson and Mark Sullivan,316408999,4
"Little, Brown & Company",KILL ME IF YOU CAN,James Patterson and Marshall Karp,316097551,7
"Little, Brown & Company",NYPD RED,James Patterson and Marshall Karp,316199893,5
"Little, Brown",NYPD RED 2,James Patterson and Marshall Karp,316211249,6
"Little, Brown",NYPD RED 3,James Patterson and Marshall Karp,316284564,0
"Little, Brown",NYPD RED 4,James Patterson and Marshall Karp,316288721,0
"Little, Brown",RED ALERT,James Patterson and Marshall Karp,316395587,4
"Little, Brown",10TH ANNIVERSARY,James Patterson and Maxine Paetro,316126942,0
"Little, Brown & Company",11TH HOUR,James Patterson and Maxine Paetro,316097489,0
"Little, Brown",14TH DEADLY SIN,James Patterson and Maxine Paetro,1455584983,0
"Little, Brown",PRIVATE VEGAS,James Patterson and Maxine Paetro,316211141,0
Grand Central Publishing,PRIVATE: #1 SUSPECT,James Patterson and Maxine Paetro,316097411,0
"Little, Brown",THE 17TH SUSPECT,James Patterson and Maxine Paetro,316274046,4
Grand Central,THE 9TH JUDGMENT,James Patterson and Maxine Paetro,446565504,0
"Little, Brown",UNLUCKY 13,James Patterson and Maxine Paetro,316211281,7
"Little, Brown",ALERT,James Patterson and Michael Ledwidge,316407186,4
"Little, Brown",BULLSEYE,James Patterson and Michael Ledwidge,1455585300,5
"Little, Brown",BURN,James Patterson and Michael Ledwidge,316211028,0
"Little, Brown & Company","I, MICHAEL BENNETT",James Patterson and Michael Ledwidge,316097470,0
"Little, Brown",TICK TOCK,James Patterson and Michael Ledwidge,316129186,0
"Little, Brown",ZOO,James Patterson and Michael Ledwidge,316097438,0
"Little, Brown",TOYS,James Patterson and Neil McMahon,316097373,4
Grand Central,THE MOORES ARE MISSING,James Patterson and others,1478971630,1
Grand Central,PRINCESS,James Patterson and Rees Jones,1538714450,1
"Little, Brown",THE STORE,James Patterson and Richard DiLallo,316395455,3
BookShots,113 MINUTES,James Patterson with Max DiLallo,316361526,1
"Little, Brown",ZOO 2,James Patterson with Max DiLallo,316317128,2
BookShots,THE MEDICAL EXAMINER,James Patterson with Maxine Paetro,316504831,1
BookShots,THE TRIAL,James Patterson with Maxine Paetro,316360597,0
"Little, Brown",THE CHRISTMAS MYSTERY,James Patterson with Richard DiLallo,316319996,0
HarperCollins Publishers,BLOODLINE,James Rollins,62194909,0
Morrow/HarperCollins,THE 6TH EXTINCTION,James Rollins,62194925,0
Morrow/HarperCollins,THE BONE LABYRINTH,James Rollins,62381636,1
Morrow/HarperCollins,THE EYE OF GOD,James Rollins,62194917,1
Morrow/HarperCollins,THE SEVENTH PLAGUE,James Rollins,62381709,1
Morrow/HarperCollins,THE KILL SWITCH,James Rollins and Grant Blackwood,62135287,1
Morrow,WAR HAWK,James Rollins and Grant Blackwood,62135309,0
Morrow/HarperCollins,BLOOD INFERNAL,James Rollins and Rebecca Cantrell,62343289,0
HarperCollins Publishers,THE BLOOD GOSPEL,James Rollins and Rebecca Cantrell,62235753,0
Orbit,BABYLON'S ASHES,James S A Corey,316217638,0
Orbit,PERSEPOLIS RISING,James S A Corey,316332828,1
Atria,SURVIVORS,"James Wesley, Rawles",1439172803,1
Random House,HOTEL ON THE CORNER OF BITTER AND SWEET,Jamie Ford,345512502,1
Atria,A BEAUTIFUL WEDDING,Jamie McGuire,1476759553,1
Simon & Schuster,BEAUTIFUL DISASTER,Jamie McGuire,1476712050,0
Atria,BEAUTIFUL OBLIVION,Jamie McGuire,1476759596,1
Simon & Schuster,WALKING DISASTER,Jamie McGuire,1476712999,2
Putnam,COME RAIN OR COME SHINE,Jan Karon,399167455,0
Putnam,SOMEWHERE SAFE WITH SOMEBODY GOOD,Jan Karon,399167447,4
Putnam,TO BE WHERE YOU ARE,Jan Karon,399183736,1
Rutherford,TRUST,Jana Aston,998244414,0
St. Martin's,SUMMER SECRETS,Jane Green,1466847743,0
St. Martin's,TEMPTING FATE,Jane Green,1466842032,1
Bantam,DANGEROUS MINDS,Janet Evanovich,553392751,1
Random House Publishing,EXPLOSIVE EIGHTEEN,Janet Evanovich,345527739,0
Putnam,HARDCORE TWENTY-FOUR,Janet Evanovich,399179194,6
Random House Publishing,NOTORIOUS NINETEEN,Janet Evanovich,345527755,0
Simon & Schuster,ONE FOR THE MONEY,Janet Evanovich,684867311,2
St. Martin's,SIZZLING SIXTEEN,Janet Evanovich,312383312,0
Random House Publishing,SMOKIN SEVENTEEN,Janet Evanovich,345527704,8
Bantam,TAKEDOWN TWENTY,Janet Evanovich,345542908,0
Bantam,TOP SECRET TWENTY-ONE,Janet Evanovich,345542932,0
Bantam,TRICKY TWENTY-TWO,Janet Evanovich,345542975,0
Bantam,TURBO TWENTY-THREE,Janet Evanovich,345543017,8
St. Martin's,WICKED APPETITE,Janet Evanovich,312383355,0
St. Martins Press,LOVE IN A NUTSHELL,Janet Evanovich and Dorien Kelly,1429952512,0
Bantam,THE HEIST,Janet Evanovich and Lee Goldberg,345543068,0
Bantam,THE PURSUIT,Janet Evanovich and Lee Goldberg,553392786,1
Bantam,THE SCAM,Janet Evanovich and Lee Goldberg,345543181,0
Bantam,CURIOUS MINDS,Janet Evanovich and Phoef Sutton,553392697,3
Bantam,WICKED CHARMS,Janet Evanovich and Phoef Sutton,553392727,1
Del Rey,STAR WARS: THE LAST JEDI,Jason Fry,1524797111,1
Scribner,PALACE OF TREASON,Jason Matthews,1476793751,0
Scribner,THE KREMLIN'S CANDIDATE,Jason Matthews,1501140108,1
Morrow/HarperCollins,ASA,Jay Crownover,62333089,1
Morrow/HarperCollins,ROME,Jay Crownover,62302396,1
Berkley,PROMISE NOT TO TELL,Jayne Ann Krentz,399585265,1
Putnam,TRUST NO ONE,Jayne Ann Krentz,1101621001,1
Jove,THE HOT ZONE,Jayne Castle,698140958,1
Grand Central Publishing,ADMISSION,Jean Hanff Korelitz,446557633,1
Grand Central,YOU SHOULD HAVE KNOWN,Jean Hanff Korelitz,1455599506,1
Crown,THE LAND OF PAINTED CAVES,Jean M Auel,517580519,5
Avon/HarperCollins,BOUND BY FLAMES,Jeaniene Frost,62075829,1
Avon,INTO THE FIRE,Jeaniene Frost,62075853,1
HarperCollins Publishers,ONCE BURNED,Jeaniene Frost,62096273,1
HarperCollins,THIS SIDE OF THE GRAVE,Jeaniene Frost,62065793,1
HarperCollins Publishers,TWICE TEMPTED,Jeaniene Frost,62075837,1
ePublishing Works!,LEXIE STARR COZY MYSTERIES BOXED SET,Jeanne Glidewell,1614177821,0
Simon & Schuster,CARTE BLANCHE,Jeffery Deaver,1451620691,0
Grand Central,THE BURIAL HOUR,Jeffery Deaver,1455536393,1
Grand Central,THE CUTTING EDGE,Jeffery Deaver,1455536415,1
Grand Central,THE KILL ROOM,Jeffery Deaver,1455517070,0
Grand Central,THE OCTOBER LIST,Jeffery Deaver,1455576662,1
Grand Central,THE SKIN COLLECTOR,Jeffery Deaver,1455517119,0
Grand Central,THE STEEL KISS,Jeffery Deaver,1455536369,2
St. Martin's Press,A MATTER OF HONOR,Jeffrey Archer,1429954027,0
St. Martin's,COMETH THE HOUR,Jeffrey Archer,1466867507,0
St. Martin's Press,MIGHTIER THAN THE SWORD,Jeffrey Archer,1250034507,1
St. Martin's,THE SINS OF THE FATHER,Jeffrey Archer,1429949031,1
St. Martin's,THIS WAS A MAN,Jeffrey Archer,1466867515,1
"Farrar, Straus & Giroux",THE MARRIAGE PLOT,Jeffrey Eugenides,1429969180,0
JA / AG Publishing,BAD WOLF,Jennifer Ashley,1941229654,0
Knopf Doubleday,A VISIT FROM THE GOON SQUAD,Jennifer Egan,307477479,0
Scribner,MANHATTAN BEACH,Jennifer Egan,1476716757,3
HarperCollins Publishers,ISLAND OF LOST GIRLS,Jennifer McMahon,61807583,1
Simon & Schuster,THE MARRIAGE MISTAKE,Jennifer Probst,1476717532,1
Atria,ALL FALL DOWN,Jennifer Weiner,1451617801,0
Atria Books,THE NEXT BEST THING,Jennifer Weiner,1451617771,0
Simon & Schuster,THEN CAME YOU,Jennifer Weiner,1451617747,0
Atria,WHO DO YOU LOVE,Jennifer Weiner,1451617836,3
Scribner,"SING, UNBURIED, SING",Jesmyn Ward,1501126067,1
Simon & Schuster,LUCKIEST GIRL ALIVE,Jessica Knoll,1476789657,0
Forever,BREAKING NOVA,Jessica Sorensen,1455582727,0
Grand Central,THE TEMPTATION OF LILA AND ETHAN,Jessica Sorensen,1455574902,1
ERH Press,PROMISE OF FOREVER,Jessica Wood,1940285127,0
Knopf,THE LOWLAND,Jhumpa Lahiri,385350406,0
Avon,ABOUT THAT KISS,Jill Shalvis,62741810,1
Avon,ACCIDENTALLY ON PURPOSE,Jill Shalvis,62448072,1
Grand Central Publishing,FOREVER AND A DAY,Jill Shalvis,1455503703,0
Grand Central,IT'S IN HIS KISS,Jill Shalvis,1455529516,0
Grand Central,ONCE IN A LIFETIME,Jill Shalvis,1455521140,1
Grand Central Publishing,SIMPLY IRRESISTIBLE,Jill Shalvis,446576468,2
